lemon,partOfSpeech,writtenForm (singular),writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,,,,GrammarRule1:question1,SPARQL,GrammarRule1: question2,SPARQL Question 2,GrammarRule 1: questions,SPARQL ,NP (Grammar Rule 2),type,number of rules
governmentCountry-of,noun,government Country,governments of countries,of,NounPPFrame,range,domain,1,dbo:governmentCountry,,,,,,,,,,,,,,
governmentMountain-of,noun,government Mountain,government Mountains,of,NounPPFrame,range,domain,1,dbo:governmentMountain,,,,,,,,,,,,,,
governmentRegion-of,noun,government Region,government Regions,of,NounPPFrame,range,domain,1,dbo:governmentRegion,,,,,,,,,,,,,,
governor-of,noun,governor,governors,of,NounPPFrame,range,domain,1,dbo:governor,,,,,,,,,,,,,,
grades-of,noun,grade,grades,of,NounPPFrame,range,domain,1,dbo:grades,,,,,,,,,,,,,,
grayPage-of,noun,gray Page,gray Pages,of,NounPPFrame,range,domain,1,dbo:grayPage,,,,,,,,,,,,,,
gridReference-of,noun,grid Reference,grid References,of,NounPPFrame,range,domain,1,dbo:gridReference,,,,,,,,,,,,,,
grossDomesticProduct-of,noun,gross Domestic Product,gross Domestic Products,of,NounPPFrame,range,domain,1,dbo:grossDomesticProduct,,,,,,,,,,,,,,
growingGrape-of,noun,growing Grape,growing Grapes,of,NounPPFrame,range,domain,1,dbo:growingGrape,,,,,,,,,,,,,,
hairColor-of,noun,hair Color,hair Colors,of,NounPPFrame,range,domain,1,dbo:hairColor,,,,,,,,,,,,,,
hasJunctionWith-of,noun,has Junction With,has Junctions With,of,NounPPFrame,range,domain,1,dbo:hasJunctionWith,,,,,,,,,,,,,,
headChef-of,noun,head Chef,head Chefs,of,NounPPFrame,range,domain,1,dbo:headChef,,,,,,,,,,,,,,
headquarter-of,noun,headquarter,headquarters,of,NounPPFrame,range,domain,1,dbo:headquarter,,,,,,,,,,,,,,
head-of,noun,head,heads,of,NounPPFrame,range,domain,1,dbo:head,,,,,,,,,,,,,,
heir-of,noun,heir,heirs,of,NounPPFrame,range,domain,1,dbo:heir,,,,,,,,,,,,,,
highestBreak-of,noun,highest Break,highest Breaks,of,NounPPFrame,range,domain,1,dbo:highestBreak,,,,,,,,,,,,,,
highestPlace-of,noun,highest Place,highest Places,of,NounPPFrame,range,domain,1,dbo:highestPlace,,,,,,,,,,,,,,
highestRegion-of,noun,highest Region,highest Regions,of,NounPPFrame,range,domain,1,dbo:highestRegion,,,,,,,,,,,,,,
highschool-of,noun,highschool,highschools,of,NounPPFrame,range,domain,1,dbo:highschool,,,,,,,,,,,,,,
hipSize-of,noun,hip Size,hip Sizes,of,NounPPFrame,range,domain,1,dbo:hipSize,,,,,,,,,,,,,,
homeStadium-of,noun,home Stadium,home Stadiums,of,NounPPFrame,range,domain,1,dbo:homeStadium,,,,,,,,,,,,,,
hometown-of,noun,hometown,hometowns,of,NounPPFrame,range,domain,1,dbo:hometown,,,,,,,,,,,,,,
house-of,noun,house,houses,of,NounPPFrame,range,domain,1,dbo:house,,,,,,,,,,,,,,
hsvCoordinateSaturation-of,noun,hsv Coordinate Saturation,hsv Coordinate Saturations,of,NounPPFrame,range,domain,1,dbo:hsvCoordinateSaturation,,,,,,,,,,,,,,
hubAirport-of,noun,hub Airport,hub Airports,of,NounPPFrame,range,domain,1,dbo:hubAirport,,,,,,,,,,,,,,
iataAirlineCode-of,noun,iata Airline Code,iata Airline Codes,of,NounPPFrame,range,domain,1,dbo:iataAirlineCode,,,,,,,,,,,,,,
ibdbId-of,noun,ibdb Id,ibdb Ids,by,NounPPFrame,range,domain,1,dbo:ibdbId,,,,,,,,,,,,,,
icaoLocationIdentifier-of,noun,icao Location Identifier,icao Location Identifiers,of,NounPPFrame,range,domain,1,dbo:icaoLocationIdentifier,,,,,,,,,,,,,,
icd9-of,noun,icd9,icd9,of,NounPPFrame,range,domain,1,dbo:icd9,,,,,,,,,,,,,,
ideology-of,noun,ideology,ideologies,of,NounPPFrame,range,domain,1,dbo:ideology,,,,,,,,,,,,,,
id-of,noun,id,ids,of,NounPPFrame,range,domain,1,dbo:id,,,,,,,,,,,,,,
imageSize-of,noun,image Size,image Sizes,of,NounPPFrame,range,domain,1,dbo:imageSize,,,,,,,,,,,,,,
impactFactor-of,noun,impact Factor,impact Factors,of,NounPPFrame,range,domain,1,dbo:impactFactor,,,,,,,,,,,,,,
incumbent-of,noun,incumbent,incumbents,of,NounPPFrame,range,domain,1,dbo:incumbent,,,,,,,,,,,,,,
industry-of,noun,industry,industries,of,NounPPFrame,range,domain,1,dbo:industry,,,,,,,,,,,,,,
influenced-of,noun,influenced,-,of,NounPPFrame,range,domain,1,dbo:influenced,,,,,,,,,,,,,,
ingredient-of,noun,ingredient,ingredients,of,NounPPFrame,range,domain,1,dbo:ingredient,,,,,,,,,,,,,,
innervates-of,noun,innervates,-,of,NounPPFrame,range,domain,1,dbo:innervates,,,,,,,,,,,,,,
installedCapacity-of,noun,installed Capacity,installed Capacities,of,NounPPFrame,range,domain,1,dbo:installedCapacity,,,,,,,,,,,,,,
instrument-of,noun,instrument,instruments,of,NounPPFrame,range,domain,1,dbo:instrument,,,,,,,,,,,,,,
interest-of,noun,interest,interests,to,NounPPFrame,range,domain,1,dbo:interest,,,,,,,,,,,,,,
internationally-of,noun,internationally,-,of,NounPPFrame,range,domain,1,dbo:internationally,,,,,,,,,,,,,,
introductionDate-of,noun,introduction Date,introduction Dates,of,NounPPFrame,range,domain,1,dbo:introductionDate,,,,,,,,,,,,,,
isbn-of,noun,isbn,isbns,of,NounPPFrame,range,domain,1,dbo:isbn,,,,,,,,,,,,,,
isniId-of,noun,isni Id,isni Ids,of,NounPPFrame,range,domain,1,dbo:isniId,,,,,,,,,,,,,,
iso6392Code-of,noun,iso6392 Code,iso6392 Codes,of,NounPPFrame,range,domain,1,dbo:iso6392Code,,,,,,,,,,,,,,
isoCodeRegion-of,noun,iso Code Region,iso Code Regions,of,NounPPFrame,range,domain,1,dbo:isoCodeRegion,,,,,,,,,,,,,,
isPartOfMilitaryConflict-of,noun,is Part Of Military Conflict,is Part Of Military Conflicts,of,NounPPFrame,range,domain,1,dbo:isPartOfMilitaryConflict,,,,,,,,,,,,,,
isPartOf-of,noun,is Part Of,are Parts Of,of,NounPPFrame,range,domain,1,dbo:isPartOf,,,,,,,,,,,,,,
isPartOfWineRegion-of,noun,is Part Of Wine Region,is Part Of Wine Regions,by,NounPPFrame,range,domain,1,dbo:isPartOfWineRegion,,,,,,,,,,,,,,
issn-of,noun,issn,issns,of,NounPPFrame,range,domain,1,dbo:issn,,,,,,,,,,,,,,
iupacName-of,noun,iupac Name,iupac Names,of,NounPPFrame,range,domain,1,dbo:iupacName,,,,,,,,,,,,,,
jointCommunity-of,noun,joint Community,joint Communities,of,NounPPFrame,range,domain,1,dbo:jointCommunity,,,,,,,,,,,,,,
jurisdiction-of,noun,jurisdiction,jurisdictions,of,NounPPFrame,range,domain,1,dbo:jurisdiction,,,,,,,,,,,,,,
kingdom-of,noun,kingdom,kingdoms,of,NounPPFrame,range,domain,1,dbo:kingdom,,,,,,,,,,,,,,
languageRegulator-of,noun,language Regulator,language Regulators,of,NounPPFrame,range,domain,1,dbo:languageRegulator,,,,,,,,,,,,,,
language-of,noun,language,languages,of,NounPPFrame,range,domain,1,dbo:language,,,,,,,,,,,,,,
largestSettlement-of,noun,largest Settlement,largest Settlements,of,NounPPFrame,range,domain,1,dbo:largestSettlement,,,,,,,,,,,,,,
lastAirDate-of,noun,last Air Date,last Air Dates,of,NounPPFrame,range,domain,1,dbo:lastAirDate,,,,,,,,,,,,,,
lastElectionDate-of,noun,last Election Date,last Election Dates,of,NounPPFrame,range,domain,1,dbo:lastElectionDate,,,,,,,,,,,,,,
lastFlightEndDate-of,noun,last Flight End Date,last Flight End Dates,of,NounPPFrame,range,domain,1,dbo:lastFlightEndDate,,,,,,,,,,,,,,
lastLaunchDate-of,noun,last Launch Date,last Launch Dates,of,NounPPFrame,range,domain,1,dbo:lastLaunchDate,,,,,,,,,,,,,,
lastPosition-of,noun,last Position,last Positions,of,NounPPFrame,range,domain,1,dbo:lastPosition,,,,,,,,,,,,,,
lastRace-of,noun,last Race,last Races,of,NounPPFrame,range,domain,1,dbo:lastRace,,,,,,,,,,,,,,
latestPreviewDate-of,noun,latest Preview Date,latest Preview Dates,of,NounPPFrame,range,domain,1,dbo:latestPreviewDate,,,,,,,,,,,,,,
latestReleaseDate-of,noun,latest Release Date,latest Release Dates,of,NounPPFrame,range,domain,1,dbo:latestReleaseDate,,,,,,,,,,,,,,
launchSite-of,noun,launch Site,launch Sites,of,NounPPFrame,range,domain,1,dbo:launchSite,,,,,,,,,,,,,,
layingDown-of,noun,laying Down,-,of,NounPPFrame,range,domain,1,dbo:layingDown,,,,,,,,,,,,,,
lccnId-of,noun,lccn Id,lccn Ids,of,NounPPFrame,range,domain,1,dbo:lccnId,,,,,,,,,,,,,,
lcc-of,noun,lcc,lccs,of,NounPPFrame,range,domain,1,dbo:lcc,,,,,,,,,,,,,,
leaderName-of,noun,leader Name,leader Names,of,NounPPFrame,range,domain,1,dbo:leaderName,,,,,,,,,,,,,,
leaderTitle-of,noun,leader Title,leader Titles,of,NounPPFrame,range,domain,1,dbo:leaderTitle,,,,,,,,,,,,,,
leftChild-of,noun,left Child,left Children,of,NounPPFrame,range,domain,1,dbo:leftChild,,,,,,,,,,,,,,
legalForm-of,noun,legal Form,legal Forms,of,NounPPFrame,range,domain,1,dbo:legalForm,,,,,,,,,,,,,,
lengthReference-of,noun,length Reference,length References,of,NounPPFrame,range,domain,1,dbo:lengthReference,,,,,,,,,,,,,,
length-of,noun,length,lengths,of,NounPPFrame,range,domain,1,dbo:length,,,,,,,,,,,,,,
license-of,noun,license,licenses,of,NounPPFrame,range,domain,1,dbo:license,,,,,,,,,,,,,,
lieutenancyArea-of,noun,lieutenancy Area,lieutenancy Areas,of,NounPPFrame,range,domain,1,dbo:lieutenancyArea,,,,,,,,,,,,,,
lineLength-of,noun,line Length,line Lengths,of,NounPPFrame,range,domain,1,dbo:lineLength,,,,,,,,,,,,,,
loadLimit-of,noun,load Limit,load Limits,of,NounPPFrame,range,domain,1,dbo:loadLimit,,,,,,,,,,,,,,
locatedInArea-of,noun,located In Area,located In Areas,of,NounPPFrame,range,domain,1,dbo:locatedInArea,,,,,,,,,,,,,,
locationCity-of,noun,location City,location Cities,of,NounPPFrame,range,domain,1,dbo:locationCity,,,,,,,,,,,,,,
locationIdentifier-of,noun,location Identifier,location Identifiers,of,NounPPFrame,range,domain,1,dbo:locationIdentifier,,,,,,,,,,,,,,
logo-of,noun,logo,logos,of,NounPPFrame,range,domain,1,dbo:logo,,,,,,,,,,,,,,
longtype-of,noun,longtype,longtypes,of,NounPPFrame,range,domain,1,dbo:longtype,,,,,,,,,,,,,,
lowerAge-of,noun,lower Age,lower Ages,of,NounPPFrame,range,domain,1,dbo:lowerAge,,,,,,,,,,,,,,
lowestPlace-of,noun,lowest Place,lowest Places,of,NounPPFrame,range,domain,1,dbo:lowestPlace,,,,,,,,,,,,,,
lowestState-of,noun,lowest State,lowest States,of,NounPPFrame,range,domain,1,dbo:lowestState,,,,,,,,,,,,,,
lowest-of,noun,lowest,-,of,NounPPFrame,range,domain,1,dbo:lowest,,,,,,,,,,,,,,
lyrics-of,noun,lyric,lyrics,of,NounPPFrame,range,domain,1,dbo:lyrics,,,,,,,,,,,,,,
maidenFlight-of,noun,maiden Flight,maiden Flights,of,NounPPFrame,range,domain,1,dbo:maidenFlight,,,,,,,,,,,,,,
maidenVoyage-of,noun,maiden Voyage,maiden Voyages,of,NounPPFrame,range,domain,1,dbo:maidenVoyage,,,,,,,,,,,,,,
mainOrgan-of,noun,main Organ,main Organs,of,NounPPFrame,range,domain,1,dbo:mainOrgan,,,,,,,,,,,,,,
maintainedBy-of,noun,maintained By,-,of,NounPPFrame,range,domain,1,dbo:maintainedBy,,,,,,,,,,,,,,
majorShrine-of,noun,major Shrine,major Shrines,of,NounPPFrame,range,domain,1,dbo:majorShrine,,,,,,,,,,,,,,
managementElevation-of,noun,management Elevation,management Elevations,of,NounPPFrame,range,domain,1,dbo:managementElevation,,,,,,,,,,,,,,
managementPlace-of,noun,management Place,management Places,of,NounPPFrame,range,domain,1,dbo:managementPlace,,,,,,,,,,,,,,
managerClub-of,noun,manager Club,manager Clubs,of,NounPPFrame,range,domain,1,dbo:managerClub,,,,,,,,,,,,,,
managingEditor-of,noun,managing Editor,managing Editors,of,NounPPFrame,range,domain,1,dbo:managingEditor,,,,,,,,,,,,,,
map-of,noun,map,maps,of,NounPPFrame,range,domain,1,dbo:map,,,,,,,,,,,,,,
march-of,noun,march,marches,of,NounPPFrame,range,domain,1,dbo:march,,,,,,,,,,,,,,
mass-of,noun,mass,masses,of,NounPPFrame,range,domain,1,dbo:mass,,,,,,,,,,,,,,
maximumBoatLength-of,noun,maximum Boat Length,maximum Boat Lengths,of,NounPPFrame,range,domain,1,dbo:maximumBoatLength,,,,,,,,,,,,,,
maximumDepthQuote-of,noun,maximum Depth Quote,maximum Depth Quotes,of,NounPPFrame,range,domain,1,dbo:maximumDepthQuote,,,,,,,,,,,,,,
maximumElevation-of,noun,maximum Elevation,maximum Elevations,of,NounPPFrame,range,domain,1,dbo:maximumElevation,,,,,,,,,,,,,,
maxTime-of,noun,max Time,max Times,of,NounPPFrame,range,domain,1,dbo:maxTime,,,,,,,,,,,,,,
mayor-of,noun,mayor,mayors,of,NounPPFrame,range,domain,1,dbo:mayor,,,,,,,,,,,,,,
meaning-of,noun,meaning,meanings,of,NounPPFrame,range,domain,1,dbo:meaning,,,,,,,,,,,,,,
meanRadius-of,noun,mean Radius,mean Radii,of,NounPPFrame,range,domain,1,dbo:meanRadius,,,,,,,,,,,,,,
meetingRoad-of,noun,meeting Road,meeting Roads,of,NounPPFrame,range,domain,1,dbo:meetingRoad,,,,,,,,,,,,,,
mergedIntoParty-of,noun,merged Into Party,merged Into Parties,of,NounPPFrame,range,domain,1,dbo:mergedIntoParty,,,,,,,,,,,,,,
meshName-of,noun,mesh Name,mesh Names,of,NounPPFrame,range,domain,1,dbo:meshName,,,,,,,,,,,,,,
metropolitanBorough-of,noun,metropolitan Borough,metropolitan Boroughs,of,NounPPFrame,range,domain,1,dbo:metropolitanBorough,,,,,,,,,,,,,,
militaryBranch-of,noun,military Branch,military Branches,of,NounPPFrame,range,domain,1,dbo:militaryBranch,,,,,,,,,,,,,,
militaryRank-of,noun,military Rank,military Ranks,of,NounPPFrame,range,domain,1,dbo:militaryRank,,,,,,,,,,,,,,
militaryUnitSize-of,noun,military Unit Size,military Unit Sizes,of,NounPPFrame,range,domain,1,dbo:militaryUnitSize,,,,,,,,,,,,,,
minimumDischarge-of,noun,minimum Discharge,minimum Discharges,of,NounPPFrame,range,domain,1,dbo:minimumDischarge,,,,,,,,,,,,,,
minimumTemperature-of,noun,minimum Temperature,minimum Temperatures,of,NounPPFrame,range,domain,1,dbo:minimumTemperature,,,,,,,,,,,,,,
mission-of,noun,mission,missions,of,NounPPFrame,range,domain,1,dbo:mission,,,,,,,,,,,,,,
modelEndYear-of,noun,model End Year,model End Years,of,NounPPFrame,range,domain,1,dbo:modelEndYear,,,,,,,,,,,,,,
monarch-of,noun,monarch,monarchs,of,NounPPFrame,range,domain,1,dbo:monarch,,,,,,,,,,,,,,
mostWins-of,noun,most Wins,-,of,NounPPFrame,range,domain,1,dbo:mostWins,,,,,,,,,,,,,,
mountainRange-of,noun,mountain Range,mountain Ranges,of,NounPPFrame,range,domain,1,dbo:mountainRange,,,,,,,,,,,,,,
mouthElevation-of,noun,mouth Elevation,mouth Elevations,of,NounPPFrame,range,domain,1,dbo:mouthElevation,,,,,,,,,,,,,,
mouthPlace-of,noun,mouth Place,mouth Places,of,NounPPFrame,range,domain,1,dbo:mouthPlace,,,,,,,,,,,,,,
movement-of,noun,movement,movements,of,NounPPFrame,range,domain,1,dbo:movement,,,,,,,,,,,,,,
municipalityCode-of,noun,municipality Code,municipality Codes,of,NounPPFrame,range,domain,1,dbo:municipalityCode,,,,,,,,,,,,,,
musicalArtist-of,noun,musical Artist,musical Artists,of,NounPPFrame,range,domain,1,dbo:musicalArtist,,,,,,,,,,,,,,
musicBy-of,noun,music By,musics By,of,NounPPFrame,range,domain,1,dbo:musicBy,,,,,,,,,,,,,,
musicFusionGenre-of,noun,music Fusion Genre,music Fusion Genres,of,NounPPFrame,range,domain,1,dbo:musicFusionGenre,,,,,,,,,,,,,,
muteCharacterInPlay-of,noun,mute Character In Play,mute Character In Plays,of,NounPPFrame,range,domain,1,dbo:muteCharacterInPlay,,,,,,,,,,,,,,
namedAfter-of,noun,named After,-,of,NounPPFrame,range,domain,1,dbo:namedAfter,,,,,,,,,,,,,,
name-of,noun,name,names,of,NounPPFrame,range,domain,1,dbo:name,,,,,,,,,,,,,,
nationalAffiliation-of,noun,national Affiliation,national Affiliations,of,NounPPFrame,range,domain,1,dbo:nationalAffiliation,,,,,,,,,,,,,,
nationality-of,noun,nationality,nationalities,of,NounPPFrame,range,domain,1,dbo:nationality,,,,,,,,,,,,,,
nationalTeam-of,noun,national Team,national Teams,of,NounPPFrame,range,domain,1,dbo:nationalTeam,,,,,,,,,,,,,,
nearestCity-of,noun,nearest City,nearest Cities,of,NounPPFrame,range,domain,1,dbo:nearestCity,,,,,,,,,,,,,,
neighbourConstellations-of,noun,neighbour Constellation,neighbour Constellations,of,NounPPFrame,range,domain,1,dbo:neighbourConstellations,,,,,,,,,,,,,,
netIncome-of,noun,net Income,net Income,of,NounPPFrame,range,domain,1,dbo:netIncome,,,,,,,,,,,,,,
networth-of,noun,networth,networth,of,NounPPFrame,range,domain,1,dbo:networth,,,,,,,,,,,,,,
nlaId-of,noun,nla Id,nla Ids,of,NounPPFrame,range,domain,1,dbo:nlaId,,,,,,,,,,,,,,
nominee-of,noun,nominee,nominees,of,NounPPFrame,range,domain,1,dbo:nominee,,,,,,,,,,,,,,
notableCommander-of,noun,notable Commander,notable Commanders,of,NounPPFrame,range,domain,1,dbo:notableCommander,,,,,,,,,,,,,,
notableStudent-of,noun,notable Student,notable Students,of,NounPPFrame,range,domain,1,dbo:notableStudent,,,,,,,,,,,,,,
notableWork-of,noun,notable Work,notable Works,of,NounPPFrame,range,domain,1,dbo:notableWork,,,,,,,,,,,,,,
nrhpReferenceNumber-of,noun,nrhp Reference Number,nrhp Reference Numbers,of,NounPPFrame,range,domain,1,dbo:nrhpReferenceNumber,,,,,,,,,,,,,,
nssdcId-of,noun,nssdc Id,nssdc Ids,of,NounPPFrame,range,domain,1,dbo:nssdcId,,,,,,,,,,,,,,
numberBuilt-of,noun,number Built,number Builts,of,NounPPFrame,range,domain,1,dbo:numberBuilt,,,,,,,,,,,,,,
numberOfClassrooms-of,noun,number Of Classroom,number Of Classrooms,of,NounPPFrame,range,domain,1,dbo:numberOfClassrooms,,,,,,,,,,,,,,
numberOfDeaths-of,noun,number Of Death,number Of Deaths,of,NounPPFrame,range,domain,1,dbo:numberOfDeaths,,,,,,,,,,,,,,
numberOfEmployees-of,noun,number Of Employee,number Of Employees,of,NounPPFrame,range,domain,1,dbo:numberOfEmployees,,,,,,,,,,,,,,
numberOfFilms-of,noun,number Of Film,number Of Films,of,NounPPFrame,range,domain,1,dbo:numberOfFilms,,,,,,,,,,,,,,
numberOfGoldMedalsWon-of,noun,number Of Gold Medal Won,number Of Gold Medals Won,of,NounPPFrame,range,domain,1,dbo:numberOfGoldMedalsWon,,,,,,,,,,,,,,
numberOfIslands-of,noun,number Of Island,number Of Islands,of,NounPPFrame,range,domain,1,dbo:numberOfIslands,,,,,,,,,,,,,,
numberOfLawyers-of,noun,number Of Lawyer,number Of Lawyers,of,NounPPFrame,range,domain,1,dbo:numberOfLawyers,,,,,,,,,,,,,,
numberOfLocations-of,noun,number Of Location,number Of Locations,of,NounPPFrame,range,domain,1,dbo:numberOfLocations,,,,,,,,,,,,,,
numberOfOffices-of,noun,number Of Office,number Of Offices,of,NounPPFrame,range,domain,1,dbo:numberOfOffices,,,,,,,,,,,,,,
numberOfPads-of,noun,number Of Pad,number Of Pads,of,NounPPFrame,range,domain,1,dbo:numberOfPads,,,,,,,,,,,,,,
numberOfParkingSpaces-of,noun,number Of Parking Space,number Of Parking Spaces,of,NounPPFrame,range,domain,1,dbo:numberOfParkingSpaces,,,,,,,,,,,,,,
numberOfParticipatingNations-of,noun,,number Of Participating Nations,of,NounPPFrame,range,domain,1,dbo:numberOfParticipatingNations,,,,,,,,,,,,,,
numberOfPlatformLevels-of,noun,number Of Platform Level,number Of Platform Levels,of,NounPPFrame,range,domain,1,dbo:numberOfPlatformLevels,,,,,,,,,,,,,,
numberOfRestaurants-of,noun,number Of Restaurant,number Of Restaurants,of,NounPPFrame,range,domain,1,dbo:numberOfRestaurants,,,,,,,,,,,,,,
numberOfSeasons-of,noun,number Of Season,number Of Seasons,of,NounPPFrame,range,domain,1,dbo:numberOfSeasons,,,,,,,,,,,,,,
numberOfSpans-of,noun,number Of Span,number Of Spans,of,NounPPFrame,range,domain,1,dbo:numberOfSpans,,,,,,,,,,,,,,
numberOfStaff-of,noun,number Of Staff,number Of Staff,of,NounPPFrame,range,domain,1,dbo:numberOfStaff,,,,,,,,,,,,,,
numberOfStudents-of,noun,number Of Student,number Of Students,of,NounPPFrame,range,domain,1,dbo:numberOfStudents,,,,,,,,,,,,,,
numberOfTeams-of,noun,number Of Team,number Of Teams,of,NounPPFrame,range,domain,1,dbo:numberOfTeams,,,,,,,,,,,,,,
numberOfUndergraduateStudents-of,noun,number Of Undergraduate Student,number Of Undergraduate Students,of,NounPPFrame,range,domain,1,dbo:numberOfUndergraduateStudents,,,,,,,,,,,,,,
numberOfVineyards-of,noun,number Of Vineyard,number Of Vineyards,of,NounPPFrame,range,domain,1,dbo:numberOfVineyards,,,,,,,,,,,,,,
numberOfVisitorsAsOf-of,noun,,number Of Visitors As Of,of,NounPPFrame,range,domain,1,dbo:numberOfVisitorsAsOf,,,,,,,,,,,,,,
numberOfVolunteers-of,noun,,number Of Volunteers,of,NounPPFrame,range,domain,1,dbo:numberOfVolunteers,,,,,,,,,,,,,,
nutsCode-of,noun,nuts Code,nuts Codes,of,NounPPFrame,range,domain,1,dbo:nutsCode,,,,,,,,,,,,,,
oclc-of,noun,oclc,oclc,of,NounPPFrame,range,domain,1,dbo:oclc,,,,,,,,,,,,,,
office-of,noun,office,offices,of,NounPPFrame,range,domain,1,dbo:office,,,,,,,,,,,,,,
officialLanguage-of,noun,official Language,official Languages,of,NounPPFrame,range,domain,1,dbo:officialLanguage,,,,,,,,,,,,,,
oilSystem-of,noun,oil System,oil Systems,of,NounPPFrame,range,domain,1,dbo:oilSystem,,,,,,,,,,,,,,
omim-of,noun,omim,omim,of,NounPPFrame,range,domain,1,dbo:omim,,,,,,,,,,,,,,
openingDate-of,noun,opening Date,opening Dates,of,NounPPFrame,range,domain,1,dbo:openingDate,,,,,,,,,,,,,,
openingTheme-of,noun,opening Theme,opening Themes,of,NounPPFrame,range,domain,1,dbo:openingTheme,,,,,,,,,,,,,,
operatingIncome-of,noun,operating Income,operating Incomes,of,NounPPFrame,range,domain,1,dbo:operatingIncome,,,,,,,,,,,,,,
operator-of,noun,operator,operators,of,NounPPFrame,range,domain,1,dbo:operator,,,,,,,,,,,,,,
orbitalFlights-of,noun,orbital Flight,orbital Flights,of,NounPPFrame,range,domain,1,dbo:orbitalFlights,,,,,,,,,,,,,,
orbits-of,noun,orbit,orbits,of,NounPPFrame,range,domain,1,dbo:orbits,,,,,,,,,,,,,,
orderInOffice-of,noun,order In Office,order In Offices,of,NounPPFrame,range,domain,1,dbo:orderInOffice,,,,,,,,,,,,,,
order-of,noun,order,orders,of,NounPPFrame,range,domain,1,dbo:order,,,,,,,,,,,,,,
organisation-of,noun,organisation,organisations,of,NounPPFrame,range,domain,1,dbo:organisation,,,,,,,,,,,,,,
originalEndPoint-of,noun,original end point,original end points,of,NounPPFrame,range,domain,1,dbo:originalEndPoint,,,,,,,,,,,,,,
originalMaximumBoatBeam-of,noun,original Maximum Boat Beam,original Maximum Boat Beams,of,NounPPFrame,range,domain,1,dbo:originalMaximumBoatBeam,,,,,,,,,,,,,,
originalStartPoint-of,noun,original Start Point,original Start Points,of,NounPPFrame,range,domain,1,dbo:originalStartPoint,,,,,,,,,,,,,,
orogeny-of,noun,orogeny,orogeny,of,NounPPFrame,range,domain,1,dbo:orogeny,,,,,,,,,,,,,,
otherChannel-of,noun,other Channel,other Channels,of,NounPPFrame,range,domain,1,dbo:otherChannel,,,,,,,,,,,,,,
otherParty-of,noun,other Party,other Parties,of,NounPPFrame,range,domain,1,dbo:otherParty,,,,,,,,,,,,,,
otherWins-of,noun,other Win,other Wins,of,NounPPFrame,range,domain,1,dbo:otherWins,,,,,,,,,,,,,,
overallRecord-of,noun,overall Record,overall Records,of,NounPPFrame,range,domain,1,dbo:overallRecord,,,,,,,,,,,,,,
owner-of,noun,owner,owners,of,NounPPFrame,range,domain,1,dbo:owner,,,,,,,,,,,,,,
owningOrganisation-of,noun,owning Organisation,owning Organisations,of,NounPPFrame,range,domain,1,dbo:owningOrganisation,,,,,,,,,,,,,,
parentCompany-of,noun,parent Company,parent Companies,of,NounPPFrame,range,domain,1,dbo:parentCompany,,,,,,,,,,,,,,
parentOrganisation-of,noun,parent organisation,parent organisations,of,NounPPFrame,range,domain,1,dbo:parentOrganisation,,,,,,,,,,,,,,
parkingInformation-of,noun,parking Information,parking Informations,of,NounPPFrame,range,domain,1,dbo:parkingInformation,,,,,,,,,,,,,,
partialFailedLaunches-of,noun,partial Failed Launche,partial Failed Launches,of,NounPPFrame,range,domain,1,dbo:partialFailedLaunches,,,,,,,,,,,,,,
partner-of,noun,partner,partners,of,NounPPFrame,range,domain,1,dbo:partner,,,,,,,,,,,,,,
passengersPerDay-of,noun,passengers Per Day,-,of,NounPPFrame,range,domain,1,dbo:passengersPerDay,,,,,,,,,,,,,,
passengersUsedSystem-of,noun,passengers Used System,passengers Used Systems,of,NounPPFrame,range,domain,1,dbo:passengersUsedSystem,,,,,,,,,,,,,,
pastor-of,noun,pastor,pastors,of,NounPPFrame,range,domain,1,dbo:pastor,,,,,,,,,,,,,,
pdb-of,noun,pdb,-,of,NounPPFrame,range,domain,1,dbo:pdb,,,,,,,,,,,,,,
periapsis-of,noun,periapsis, periapsides,of,NounPPFrame,range,domain,1,dbo:periapsis,,,,,,,,,,,,,,
philosophicalSchool-of,noun,philosophical School,philosophical Schools,of,NounPPFrame,range,domain,1,dbo:philosophicalSchool,,,,,,,,,,,,,,
phylum-of,noun,phylum,phyla,of,NounPPFrame,range,domain,1,dbo:phylum,,,,,,,,,,,,,,
pictureFormat-of,noun,picture Format,picture Formats,of,NounPPFrame,range,domain,1,dbo:pictureFormat,,,,,,,,,,,,,,
place-of,noun,place,places,of,NounPPFrame,range,domain,1,dbo:place,,,,,,,,,,,,,,
plant-of,noun,plant,plants,of,NounPPFrame,range,domain,1,dbo:plant,,,,,,,,,,,,,,
podiums-of,noun,podium,podiums,of,NounPPFrame,range,domain,1,dbo:podiums,,,,,,,,,,,,,,
poleDriverCountry-of,noun,pole Driver Country,pole Driver Countries,of,NounPPFrame,range,domain,1,dbo:poleDriverCountry,,,,,,,,,,,,,,
poles-of,noun,pole,poles,of,NounPPFrame,range,domain,1,dbo:poles,,,,,,,,,,,,,,
politicalPartyOfLeader-of,noun,political Party Of Leader,political Party Of Leaders,of,NounPPFrame,range,domain,1,dbo:politicalPartyOfLeader,,,,,,,,,,,,,,
populationDensity-of,noun,population Density,population Densities,of,NounPPFrame,range,domain,1,dbo:populationDensity,,,,,,,,,,,,,,
